event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,peak_time_hour,date,lofar_data
0,2017-09-01T09:37:00,2017-09-01T09:43:00,2017-09-01T09:52:00,B7.1,12674,9,2017-09-01,yes
1,2017-09-01T10:25:00,2017-09-01T10:28:00,2017-09-01T10:30:00,B3.7,12674,10,2017-09-01,yes
2,2017-09-01T15:04:00,2017-09-01T15:07:00,2017-09-01T15:09:00,B4.8,12674,15,2017-09-01,yes
3,2017-09-01T15:10:00,2017-09-01T15:13:00,2017-09-01T15:15:00,B5.1,12674,15,2017-09-01,yes
4,2017-09-01T15:31:00,2017-09-01T15:37:00,2017-09-01T15:41:00,C2.0,12674,15,2017-09-01,yes
5,2017-09-01T17:08:00,2017-09-01T17:14:00,2017-09-01T17:19:00,C1.2,12674,17,2017-09-01,yes
6,2017-09-01T17:32:00,2017-09-01T17:35:00,2017-09-01T17:38:00,B8.0,12674,17,2017-09-01,yes
7,2017-09-02T10:11:00,2017-09-02T10:15:00,2017-09-02T10:17:00,B4.3,12674,10,2017-09-02,yes
8,2017-09-02T10:31:00,2017-09-02T10:35:00,2017-09-02T10:39:00,B4.2,12674,10,2017-09-02,yes
9,2017-09-02T11:48:00,2017-09-02T12:05:00,2017-09-02T12:32:00,B8.5,12674,12,2017-09-02,yes
10,2017-09-02T13:03:00,2017-09-02T13:07:00,2017-09-02T13:09:00,B5.7,12672,13,2017-09-02,yes
11,2017-09-02T15:26:00,2017-09-02T15:41:00,2017-09-02T15:56:00,C7.7,12672,15,2017-09-02,yes
12,2017-09-03T08:39:00,2017-09-03T09:26:00,2017-09-03T09:48:00,B7.5,12672,9,2017-09-03,yes
13,2017-09-03T10:19:00,2017-09-03T10:22:00,2017-09-03T10:34:00,B5.9,12674,10,2017-09-03,yes
14,2017-09-04T11:33:00,2017-09-04T11:38:00,2017-09-04T11:42:00,C2.4,12673,11,2017-09-04,yes
15,2017-09-04T12:12:00,2017-09-04T12:25:00,2017-09-04T12:33:00,C8.3,12673,12,2017-09-04,yes
16,2017-09-04T15:11:00,2017-09-04T15:30:00,2017-09-04T15:33:00,M1.5,12673,15,2017-09-04,yes
17,2017-09-04T16:29:00,2017-09-04T16:46:00,2017-09-04T16:50:00,C4.1,12673,16,2017-09-04,yes
18,2017-09-04T17:20:00,2017-09-04T17:39:00,2017-09-04T17:48:00,C6.0,12673,17,2017-09-04,yes
19,2017-09-04T18:05:00,2017-09-04T18:22:00,2017-09-04T18:31:00,M1.0,12673,18,2017-09-04,yes
20,2017-09-07T09:16:00,2017-09-07T09:20:00,2017-09-07T09:24:00,C2.3,12673,9,2017-09-07,yes
21,2017-09-07T09:49:00,2017-09-07T09:54:00,2017-09-07T09:58:00,M1.4,12673,9,2017-09-07,yes
22,2017-09-07T10:11:00,2017-09-07T10:15:00,2017-09-07T10:18:00,M7.3,12673,10,2017-09-07,yes
23,2017-09-07T12:00:00,2017-09-07T12:14:00,2017-09-07T12:28:00,C3.0,12673,12,2017-09-07,yes
24,2017-09-07T14:20:00,2017-09-07T14:36:00,2017-09-07T14:55:00,X1.3,12673,14,2017-09-07,yes
25,2017-09-07T18:04:00,2017-09-07T18:28:00,2017-09-07T18:36:00,C5.2,12673,18,2017-09-07,yes
26,2017-09-07T18:40:00,2017-09-07T18:44:00,2017-09-07T18:49:00,C4.5,12673,18,2017-09-07,yes
27,2017-09-08T09:36:00,2017-09-08T09:39:00,2017-09-08T09:41:00,C1.3,12673,9,2017-09-08,yes
28,2017-09-08T10:45:00,2017-09-08T10:49:00,2017-09-08T10:51:00,C1.6,12673,10,2017-09-08,yes
29,2017-09-08T11:21:00,2017-09-08T11:27:00,2017-09-08T11:34:00,C1.7,12673,11,2017-09-08,yes
30,2017-09-08T12:09:00,2017-09-08T12:13:00,2017-09-08T12:15:00,C5.9,12673,12,2017-09-08,yes
31,2017-09-08T12:29:00,2017-09-08T12:33:00,2017-09-08T12:40:00,C1.2,12673,12,2017-09-08,yes
32,2017-09-08T15:09:00,2017-09-08T15:47:00,2017-09-08T16:04:00,M2.9,12673,15,2017-09-08,yes
33,2017-09-08T18:15:00,2017-09-08T18:18:00,2017-09-08T18:20:00,C1.7,12673,18,2017-09-08,yes
34,2017-09-09T10:50:00,2017-09-09T11:04:00,2017-09-09T11:42:00,M3.7,12673,11,2017-09-09,yes
35,2017-09-09T14:49:00,2017-09-09T14:53:00,2017-09-09T14:58:00,C1.4,12673,14,2017-09-09,yes
36,2017-09-09T16:20:00,2017-09-09T16:32:00,2017-09-09T16:40:00,C1.7,12673,16,2017-09-09,yes
37,2017-09-10T09:02:00,2017-09-10T09:20:00,2017-09-10T09:34:00,C2.9,12673,9,2017-09-10,yes
38,2017-09-10T14:19:00,2017-09-10T14:23:00,2017-09-10T14:25:00,C1.6,12673,14,2017-09-10,yes
